from,to,sign
914,1768,-1
914,1674,1
914,1638,1
914,1637,1
914,1618,1
914,1584,-1
914,1543,1
914,1482,1
914,1461,1
914,1436,-1
914,1410,1
914,1337,1
914,1272,1
914,1201,-1
914,1192,1
914,1159,-1
914,1096,-1
914,1032,1
914,1021,1
914,1010,1
914,992,1
912,1350,-1
909,1722,-1
909,1554,1
909,1335,-1
909,1169,1
909,1070,1
909,1040,-1
901,1235,1
900,1713,-1
900,1634,1
898,1401,1
894,1615,1
894,1331,1
894,1323,-1
894,1156,1
894,1049,1
90,715,1
888,1573,1
887,887,-1
887,1698,1
887,1653,-1
887,1652,1
887,1533,-1
887,1526,-1
887,1228,-1
887,1150,-1
887,1057,1
887,1036,-1
887,949,1
886,1787,-1
886,1776,1
886,1775,1
886,1772,1
886,1771,1
886,1764,1
886,1763,1
886,1747,-1
886,1746,1
886,1740,-1
886,1737,1
886,1735,-1
886,1728,1
886,1725,-1
886,1717,-1
886,1716,1
886,1712,1
886,1703,-1
886,1698,1
886,1697,-1
886,1690,1
886,1674,-1
886,1672,1
886,1670,-1
886,1668,1
886,1667,-1
886,1666,1
886,1653,-1
886,1652,-1
886,1646,-1
886,1642,-1
886,1629,-1
886,1623,1
886,1618,1
886,1609,1
886,1599,1
886,1587,-1
886,1586,1
886,1581,1
886,1579,1
886,1575,1
886,1571,1
886,1566,1
886,1564,-1
886,1561,-1
886,1551,1
886,1548,1
886,1542,1
886,1533,1
886,1530,1
886,1515,1
886,1513,1
886,1509,-1
886,1503,1
886,1497,1
886,1493,1
886,1489,1
886,1486,1
886,1483,1
886,1482,1
886,1461,1
886,1457,1
886,1455,1
886,1436,-1
886,1422,1
886,1415,1
886,1410,-1
886,1405,-1
886,1404,-1
886,1367,1
886,1363,1
886,1343,1
886,1341,-1
886,1340,1
886,1337,-1
886,1327,1
886,1318,1
886,1312,1
886,1311,1
886,1304,-1
886,1295,1
886,1290,-1
886,1285,1
886,1280,1
886,1275,1
886,1261,1
886,1259,1
886,1240,-1
886,1231,1
886,1226,1
886,1224,1
886,1220,-1
886,1215,1
886,1211,-1
886,1192,1
886,1191,-1
886,1188,1
886,1186,1
886,1180,1
886,1178,-1
886,1176,-1
886,1170,1
886,1164,-1
886,1159,1
886,1157,1
886,1155,-1
886,1154,1
886,1147,1
886,1146,1
886,1137,-1
886,1125,-1
886,1116,1
886,1110,-1
886,1109,-1
886,1105,-1
886,1103,1
886,1096,1
886,1066,1
886,1060,1
886,1057,-1
886,1053,-1
886,1043,-1
886,1038,1
886,1036,1
886,1035,-1
886,1031,-1
886,1029,-1
886,1021,1
886,1010,1
886,1008,1
886,997,-1
886,995,1
886,994,-1
886,993,-1
886,991,-1
886,980,1
886,966,1
886,952,1
886,951,-1
886,950,1
886,947,-1
886,939,1
886,934,1
886,918,1
885,1487,1
885,1482,1
885,1357,-1
885,1319,1
885,1312,1
885,1159,1
885,1157,1
885,965,1
885,952,1
881,914,-1
881,1466,1
881,1242,1
881,985,1
876,1207,-1
874,885,1
874,875,1
874,1769,1
874,1746,1
874,1675,1
874,1653,1
874,1652,1
874,1618,1
874,1566,-1
874,1533,1
874,1520,1
874,1513,1
874,1503,-1
874,1497,1
874,1482,-1
874,1462,1
874,1405,1
874,1404,-1
874,1368,1
874,1367,1
874,1312,1
874,1240,1
874,1222,1
874,1219,-1
874,1198,1
874,1191,1
874,1188,-1
874,1171,-1
874,1148,-1
874,1146,1
874,1116,-1
874,1110,1
874,1046,1
874,1018,1
874,1002,1
874,992,1
874,979,1
874,976,1
874,955,1
874,952,1
874,946,1
874,939,-1
867,1315,1
863,914,1
863,887,-1
863,882,1
863,864,-1
863,1775,1
863,1753,1
863,1725,1
863,1716,1
863,1667,1
863,1618,1
863,1611,1
863,1584,-1
863,1551,1
863,1530,-1
863,1513,1
863,1482,1
863,1357,-1
863,1343,1
863,1308,1
863,1277,1
863,1261,1
863,1240,1
863,1220,1
863,1219,1
863,1201,1
863,1198,1
863,1147,1
863,1106,1
863,1096,1
863,1094,1
863,1036,1
863,1033,1
863,1029,1
863,1025,1
863,958,-1
863,955,-1
863,952,1
863,946,1
863,944,1
862,1686,1
862,1000,-1
860,1652,1
860,1021,1
859,913,1
859,910,1
859,895,-1
859,887,1
859,882,1
859,880,1
859,875,1
859,871,-1
859,866,-1
859,865,1
859,864,1
859,860,-1
859,859,1
859,1788,1
859,1787,-1
859,1785,1
859,1779,1
859,1775,1
859,1772,-1
859,1771,-1
859,1769,-1
859,1768,-1
859,1763,-1
859,1747,1
859,1737,1
859,1733,1
859,1725,-1
859,1720,-1
859,1716,-1
859,1714,1
859,1698,1
859,1697,1
859,1694,-1
859,1692,-1
859,1690,1
859,1688,1
859,1684,1
859,1681,-1
859,1678,-1
859,1677,1
859,1670,1
859,1667,1
859,1662,1
859,1653,1
859,1652,1
859,1642,1
859,1635,-1
859,1624,-1
859,1618,1
859,1609,1
859,1605,1
859,1604,-1
859,1592,1
859,1581,1
859,1573,1
859,1571,1
859,1566,-1
859,1562,-1
859,1551,1
859,1548,-1
859,1543,-1
859,1533,1
859,1531,1
859,1530,1
859,1528,-1
859,1527,1
859,1522,1
859,1513,1
859,1507,1
859,1503,1
859,1497,-1
859,1486,1
859,1483,1
859,1482,1
859,1479,1
859,1473,1
859,1461,1
859,1455,1
859,1446,-1
859,1436,1
859,1435,-1
859,1423,-1
859,1422,1
859,1416,1
859,1415,-1
859,1414,-1
859,1411,-1
859,1410,1
859,1407,-1
859,1404,1
859,1374,-1
859,1373,-1
859,1365,-1
859,1363,-1
859,1362,-1
859,1361,1
859,1349,-1
859,1345,1
859,1343,1
859,1340,-1
859,1339,-1
859,1337,1
859,1336,1
859,1330,1
859,1319,1
859,1314,-1
859,1312,1
859,1311,-1
859,1304,-1
859,1296,1
859,1290,1
859,1286,1
859,1283,1
859,1277,1
859,1272,-1
859,1261,-1
859,1250,-1
859,1247,-1
859,1230,1
859,1224,1
859,1222,-1
859,1220,1
859,1218,1
859,1215,1
859,1211,-1
859,1198,1
859,1192,1
859,1186,1
859,1179,-1
859,1176,-1
859,1171,-1
859,1170,-1
859,1166,1
859,1159,1
859,1157,1
859,1151,-1
859,1147,1
859,1146,1
859,1137,1
859,1134,-1
859,1133,1
859,1119,1
859,1110,1
859,1109,1
859,1105,-1
859,1103,1
859,1102,1
859,1099,1
859,1096,1
859,1094,1
859,1089,1
859,1088,-1
859,1083,-1
859,1082,1
859,1073,1
859,1066,1
859,1064,1
859,1060,1
