from,to,sign
11592,11812,1
11592,10123,1
11592,12670,1
11592,13353,1
11592,2004,1
11592,5102,1
11592,7970,1
12151,10077,1
12151,1063,1
12151,7475,1
12329,9359,1
12329,4628,1
12329,11489,1
12329,11879,1
12329,10067,1
12329,10885,1
12329,12071,1
12329,12884,1
12329,278,1
12329,982,1
12329,1598,1
12329,2793,1
12329,3606,1
12329,4035,1
12329,4217,1
12329,5569,1
12329,5596,1
12329,6524,1
12329,8217,1
12329,8359,1
11702,1300,1
11702,10545,1
11702,11172,1
11702,10123,1
11702,10693,1
11702,11961,1
11702,11975,1
11702,12511,1
11702,62,1
11702,361,1
11702,1028,1
11702,1284,1
11702,2964,1
11702,3618,1
11702,4070,1
11702,6326,1
11702,6716,1
11702,9212,1
11719,11740,1
11719,11490,1
11719,620,1
11719,10039,1
11719,10523,1
11719,10824,1
11719,11009,1
11719,11056,1
11719,11071,1
11719,11231,1
11719,11293,1
11719,11328,1
11719,11437,1
11719,11558,1
11719,11677,1
11719,11692,1
11719,96,1
11719,5967,1
11719,9398,1
11719,9606,1
11719,9634,1
11719,9746,1
11719,9795,1
11719,9799,1
11719,9822,1
11719,9858,1
11719,10080,1
11719,10120,1
11719,10123,1
11719,10149,1
11719,10262,1
11719,10308,1
11719,10651,1
11719,10693,1
11719,10839,1
11719,11201,1
11719,11245,1
11719,11347,1
11719,11352,1
11719,11358,1
11719,11945,1
11719,12050,1
11719,12065,1
11719,12208,1
11719,12227,1
11719,12267,1
11719,12439,1
11719,12474,1
11719,12573,1
11719,12591,1
11719,12876,1
11719,12885,1
11719,13074,1
11719,13100,1
11719,13255,1
11719,13259,1
11719,13449,1
11719,251,1
11719,602,1
11719,689,1
11719,865,1
11719,883,1
11719,974,1
11719,1058,1
11719,1236,1
11719,1445,1
11719,1469,1
11719,1907,1
11719,1950,1
11719,2174,1
11719,2232,1
11719,2290,1
11719,2353,1
11719,2359,1
11719,2478,1
11719,2510,1
11719,2590,1
11719,2616,1
11719,2921,1
11719,2959,1
11719,2986,1
11719,3039,1
11719,3110,1
11719,3313,1
11719,3329,1
11719,3346,1
11719,3405,1
11719,3438,1
11719,3476,1
11719,3720,1
11719,3860,1
11719,3997,1
11719,4007,1
11719,4132,1
11719,4182,1
11719,4367,1
11719,5217,1
11719,5410,1
11719,5460,1
11719,5488,1
11719,5588,1
11719,5629,1
11719,5650,1
11719,5667,1
11719,5679,1
11719,5705,1
11719,5848,1
11719,5885,1
11719,5926,1
11719,5957,1
11719,6146,1
11719,6330,1
11719,6457,1
11719,6574,1
11719,6666,1
11719,6716,1
11719,6803,1
11719,6839,1
11719,6938,1
11719,6973,1
11719,7061,1
11719,7071,1
11719,7430,1
11719,7686,1
11719,7823,1
11719,7907,1
11719,8198,1
11719,8397,1
11736,4606,1
11736,12484,1
11736,2315,1
11736,5385,1
11736,6116,1
11736,7951,1
11796,10128,1
11796,2015,1
11796,5694,1
11796,7061,1
11796,7823,1
11852,9481,1
11852,11731,1
11852,4589,1
11852,11256,1
11852,12554,1
11852,12805,1
11852,11172,1
11852,71,1
11852,12364,1
11852,12591,1
11973,2449,1
11997,937,1
11997,12516,1
11997,12805,1
11997,2171,1
12114,10194,1
12114,10812,1
12114,12422,1
12114,841,1
12114,4413,1
12114,5615,1
12114,6091,1
12114,7948,1
12114,9137,1
12114,9280,1
12162,11139,1
12162,1920,1
12162,5267,1
12162,11343,1
12162,11509,1
12162,11614,1
12162,11795,1
12162,12521,1
12162,8654,1
12162,9851,1
12162,10271,1
12162,10684,1
12162,11413,1
12162,11789,1
12162,11846,1
12162,12278,1
12162,12551,1
12162,12685,1
12162,12756,1
12162,12818,1
12162,12921,1
12162,13309,1
12162,13434,1
12162,13471,1
12162,77,1
12162,94,1
12162,116,1
12162,135,1
12162,199,1
12162,263,1
12162,383,1
12162,439,1
12162,444,1
12162,671,1
12162,884,1
12162,922,1
12162,1026,1
12162,1090,1
12162,1230,1
12162,1409,1
12162,1450,1
12162,1452,1
12162,1672,1
12162,1698,1
12162,1705,1
12162,1755,1
12162,2124,1
12162,2191,1
12162,2313,1
12162,2399,1
12162,2478,1
12162,2537,1
12162,2541,1
12162,2557,1
12162,2569,1
12162,2662,1
12162,2737,1
12162,2769,1
12162,2836,1
12162,2841,1
12162,2856,1
12162,2938,1
12162,2976,1
12162,3064,1
12162,3089,1
12162,3122,1
12162,3166,1
12162,3171,1
12162,3199,1
12162,3284,1
12162,3319,1
12162,3596,1
12162,3699,1
12162,3869,1
12162,3903,1
12162,4011,1
12162,4027,1
12162,4030,1
12162,4032,1
12162,4084,1
12162,4237,1
12162,4517,1
12162,4603,1
12162,4717,1
12162,4779,1
12162,4853,1
12162,4931,1
12162,5026,1
12162,5044,1
12162,5066,1
12162,5092,1
12162,5100,1
12162,5255,1
12162,5287,1
12162,5393,1
12162,5441,1
12162,5480,1
12162,5481,1
12162,5547,1
12162,5548,1
12162,5661,1
12162,5729,1
12162,5734,1
12162,5797,1
12162,5818,1
12162,5886,1
12162,5976,1
12162,6004,1
12162,6299,1
12162,6376,1
12162,6475,1
12162,6520,1
12162,6962,1
12162,7009,1
12162,7098,1
12162,7163,1
12162,7204,1
12162,7216,1
12162,7246,1
12162,7284,1
12162,7300,1
12162,7439,1
12162,7465,1
12162,7475,1
12162,7479,1
12162,7515,1
12162,7561,1
12162,7621,1
12162,7708,1
12162,7757,1
12162,7791,1
12162,7795,1
12162,7839,1
12162,7868,1
12162,8036,1
12162,8043,1
12162,8073,1
12162,8247,1
12162,8259,1
12162,8281,1
12162,8283,1
12162,8450,1
12162,8608,1
12162,8635,1
12162,8647,1
12162,8676,1
12162,8848,1
12162,8892,1
12162,9125,1
12162,9134,1
12164,10856,1
12164,10545,1
12164,10389,1
12164,12374,1
12164,12885,1
12164,414,1
12164,935,1
12164,1293,1
12164,1896,1
12164,5024,1
12164,7823,1
12164,7873,1
12248,5008,1
9481,11344,1
9481,11482,1
9481,11655,1
9481,12764,1
9481,1794,1
9481,9577,1
9481,9657,1
9481,10002,1
9481,11541,1
9481,11563,1
9481,10362,1
9481,10585,1
9481,10605,1
9481,10638,1
9481,10817,1
9481,11347,1
9481,11388,1
9481,11932,1
9481,12339,1
9481,12466,1
9481,12661,1
9481,1175,1
9481,3535,1
9481,4132,1
9481,4507,1
9481,5862,1
9481,6330,1
9481,8061,1
9481,9002,1
9704,10007,1
9704,12883,1
9704,13167,1
9704,10691,1
9704,11178,1
9704,11528,1
9704,2436,1
9704,6470,1
9704,9448,1
9704,392,1
9704,982,1
9704,1253,1
9704,2019,1
9704,2572,1
9704,2743,1
9704,3720,1
9704,4272,1
9704,4707,1
9704,6821,1
10069,10637,1
10258,9455,1
10258,71,1
10258,10712,1
10258,4034,1
10266,13273,1
10787,11881,1
10787,10090,1
10787,2955,1
10787,9757,1
10787,9840,1
10787,7686,1
10825,8001,1
10889,12743,1
10889,9329,1
10889,1714,1
10889,9905,1
10889,11137,1
10889,3406,1
10889,10110,1
10889,10345,1
10889,10817,1
10889,10839,1
10889,12368,1
10889,13023,1
10889,13039,1
10889,13265,1
10889,176,1
10889,388,1
10889,396,1
10889,1160,1
10889,2373,1
10889,2627,1
10889,4093,1
10889,4610,1
10889,5409,1
10889,7066,1
10889,7068,1
10889,7478,1
10889,8482,1
10889,9111,1
11064,9551,1
11064,9657,1
11064,3482,1
11205,10014,1
11205,11352,1
11205,457,1
11205,1117,1
11205,1734,1
11205,3506,1
11205,7061,1
11233,2311,1
11233,5274,1
11233,9322,1
11233,10590,1
11233,11353,1
11233,11619,1
11233,9659,1
11233,9834,1
11233,11082,1
11233,12995,1
11233,5165,1
11233,9633,1
11233,9634,1
11233,9655,1
11233,9691,1
11233,10852,1
11233,11241,1
11233,11805,1
11233,11999,1
11233,12016,1
11233,12178,1
11233,12727,1
11233,12840,1
11233,13094,1
11233,13151,1
11233,13163,1
11233,13230,1
11233,79,1
11233,224,1
11233,233,1
11233,907,1
11233,960,1
11233,1475,1
11233,2036,1
11233,2239,1
11233,2634,1
11233,2682,1
11233,2690,1
11233,2719,1
11233,2750,1
11233,3312,1
11233,3500,1
11233,3761,1
11233,3940,1
11233,4932,1
11233,4945,1
11233,5233,1
11233,5372,1
11233,5718,1
11233,5728,1
11233,5983,1
11233,6454,1
11233,6602,1
11233,6768,1
11233,7280,1
11233,7447,1
11233,7669,1
11233,7859,1
11233,8029,1
11233,9254,1
11321,974,1
11522,10188,1
11522,1608,1
11601,10220,1
11601,13416,1
11601,4137,1
11601,5341,1
11601,5714,1
11601,6005,1
11601,7283,1
11606,10523,1
11606,11142,1
11627,9324,1
11627,12312,1
11641,10345,1
11641,10839,1
11641,145,1
11641,457,1
11658,1421,1
11658,9992,1
11658,10817,1
11658,13238,1
11658,129,1
11668,9488,1
11668,10985,1
11668,71,1
11668,3039,1
11703,9912,1
11703,5181,1
11709,13537,1
11712,12743,1
11712,3405,1
11722,11692,1
11722,2425,1
11722,9842,1
11722,10549,1
11722,11356,1
11722,11384,1
11722,12049,1
11722,12895,1
11722,12917,1
11722,79,1
11722,394,1
11722,1175,1
11722,1971,1
11722,1983,1
11722,2571,1
11722,3311,1
11722,3312,1
11722,4024,1
11722,4192,1
11722,4355,1
11722,4761,1
11722,4846,1
11722,4874,1
11722,5271,1
11722,5743,1
11722,7810,1
11723,10839,1
11723,1476,1
11725,13273,1
11725,2619,1
11731,11692,1
11731,4688,1
11731,9469,1
11731,11142,1
11731,11773,1
11731,12152,1
11731,13070,1
11731,13334,1
11731,3557,1
11731,4374,1
11731,5368,1
11731,5926,1
11737,1585,1
11738,9551,1
11738,10839,1
11738,7071,1
11739,13273,1
11739,2518,1
11739,6165,1
11740,1273,1
11740,6931,1
11740,9359,1
11740,9504,1
11740,10007,1
11740,2360,1
11740,2890,1
11740,9388,1
11740,9539,1
11740,9551,1
11740,10089,1
11740,10735,1
11740,11103,1
11740,11194,1
11740,11293,1
11740,11328,1
11740,11506,1
11740,9448,1
11740,9799,1
11740,9802,1
11740,9840,1
11740,9982,1
11740,10839,1
11740,11099,1
11740,11845,1
11740,11961,1
11740,13510,1
11740,13551,1
11740,155,1
11740,528,1
11740,728,1
11740,865,1
11740,1343,1
11740,1413,1
11740,1525,1
11740,1980,1
11740,2131,1
11740,2380,1
11740,2518,1
11740,2550,1
11740,2634,1
11740,2685,1
11740,2979,1
11740,3001,1
11740,3311,1
11740,3329,1
11740,3346,1
11740,3535,1
11740,3858,1
11740,4409,1
11740,4646,1
11740,5090,1
11740,5487,1
11740,5694,1
11740,5857,1
11740,5941,1
11740,6146,1
11740,6907,1
11740,8557,1
11740,9278,1
11742,323,1
11746,10523,1
11746,6418,1
11746,12776,1
11746,13070,1
11746,13240,1
11746,13435,1
11746,235,1
11746,3039,1
11746,3405,1
11746,3535,1
11746,3688,1
11746,4093,1
11746,5866,1
11746,7071,1
11761,1117,1
11812,13273,1
11812,7061,1
11869,1475,1
11869,4655,1
11869,5048,1
11869,7071,1
11876,9430,1
11876,9345,1
11876,9446,1
11876,11056,1
11876,11172,1
11876,11499,1
11876,3578,1
11876,12188,1
11876,12511,1
11876,12828,1
11876,251,1
11876,289,1
11876,2402,1
11876,4592,1
11876,5114,1
11876,5439,1
11876,6121,1
11876,6707,1
11876,7131,1
11876,7221,1
11919,2582,1
11954,12633,1
11954,3506,1
11954,5110,1
12087,10105,1
12087,10218,1
12087,13423,1
12087,1974,1
12087,3858,1
12087,5008,1
12087,6134,1
12148,4132,1
12288,12677,1
12288,6339,1
12288,10746,1
12288,11400,1
12288,11459,1
12288,11472,1
12288,11583,1
12288,11717,1
12288,11962,1
12288,13020,1
12288,13080,1
12288,1920,1
12288,3582,1
12288,9328,1
12288,9989,1
12288,10224,1
12288,10434,1
12288,10464,1
12288,10957,1
12288,11140,1
12288,11197,1
12288,11223,1
12288,11326,1
12288,11343,1
12288,11523,1
12288,11602,1
12288,11656,1
12288,11681,1
12288,11922,1
12288,12570,1
12288,13116,1
12288,113,1
12288,749,1
12288,3057,1
12288,4147,1
12288,4936,1
12288,5389,1
12288,6139,1
12288,7252,1
12288,8846,1
12288,9575,1
12288,9675,1
12288,9878,1
12288,9907,1
12288,9930,1
12288,9937,1
12288,10056,1
12288,10101,1
12288,10188,1
12288,10201,1
12288,10241,1
12288,10315,1
12288,10499,1
12288,10554,1
12288,10603,1
12288,10855,1
12288,10894,1
12288,11131,1
12288,11408,1
12288,11431,1
12288,11766,1
12288,11813,1
12288,11851,1
12288,11862,1
12288,11896,1
12288,11928,1
12288,11941,1
12288,11955,1
12288,11972,1
12288,12016,1
12288,12163,1
12288,12267,1
12288,12270,1
12288,12317,1
12288,12347,1
12288,12366,1
12288,12372,1
12288,12390,1
12288,12412,1
12288,12431,1
12288,12444,1
12288,12485,1
12288,12544,1
12288,12573,1
12288,12593,1
12288,12601,1
12288,12614,1
12288,12674,1
12288,12693,1
12288,12769,1
12288,12772,1
12288,12818,1
12288,12921,1
12288,12934,1
12288,12967,1
12288,12974,1
12288,13023,1
12288,13170,1
12288,13182,1
12288,13230,1
12288,13253,1
12288,13376,1
12288,13396,1
12288,13399,1
12288,13434,1
12288,13464,1
12288,13487,1
12288,13502,1
12288,13509,1
12288,13519,1
12288,82,1
12288,99,1
12288,175,1
12288,199,1
12288,206,1
12288,228,1
12288,277,1
12288,290,1
12288,298,1
12288,382,1
12288,474,1
12288,507,1
12288,564,1
12288,565,1
12288,624,1
12288,628,1
12288,635,1
12288,698,1
12288,707,1
12288,732,1
12288,781,1
12288,867,1
12288,875,1
12288,913,1
12288,922,1
12288,1021,1
12288,1052,1
12288,1082,1
12288,1313,1
12288,1314,1
12288,1318,1
12288,1352,1
12288,1401,1
12288,1467,1
12288,1535,1
12288,1591,1
12288,1616,1
12288,1623,1
12288,1629,1
12288,1636,1
12288,1698,1
12288,1704,1
12288,1705,1
12288,1707,1
12288,1739,1
12288,1745,1
12288,1774,1
12288,1787,1
12288,1804,1
12288,1841,1
12288,1883,1
12288,1925,1
12288,1988,1
12288,2024,1
12288,2137,1
12288,2160,1
12288,2163,1
12288,2198,1
12288,2217,1
12288,2252,1
12288,2374,1
12288,2381,1
12288,2391,1
12288,2413,1
12288,2427,1
12288,2478,1
12288,2537,1
12288,2541,1
12288,2546,1
12288,2551,1
12288,2556,1
12288,2593,1
12288,2607,1
12288,2670,1
12288,2688,1
12288,2822,1
12288,2841,1
12288,2857,1
12288,2860,1
12288,2975,1
12288,3056,1
12288,3059,1
12288,3061,1
12288,3068,1
12288,3076,1
12288,3088,1
12288,3105,1
12288,3138,1
12288,3142,1
12288,3166,1
12288,3171,1
12288,3198,1
12288,3207,1
12288,3211,1
12288,3267,1
12288,3292,1
12288,3360,1
12288,3526,1
12288,3699,1
12288,3746,1
12288,3792,1
12288,3847,1
12288,3857,1
12288,3903,1
12288,3910,1
12288,3937,1
12288,3951,1
12288,3952,1
12288,3963,1
12288,4012,1
12288,4023,1
12288,4083,1
12288,4084,1
12288,4141,1
12288,4208,1
12288,4247,1
12288,4281,1
12288,4284,1
12288,4305,1
12288,4318,1
12288,4324,1
12288,4328,1
12288,4336,1
12288,4352,1
12288,4411,1
12288,4428,1
12288,4467,1
12288,4489,1
12288,4505,1
12288,4511,1
12288,4517,1
12288,4536,1
12288,4676,1
12288,4709,1
12288,4716,1
12288,4787,1
12288,4852,1
12288,4883,1
12288,4892,1
12288,4903,1
12288,4950,1
12288,5011,1
12288,5037,1
12288,5042,1
12288,5083,1
12288,5131,1
12288,5152,1
12288,5194,1
12288,5301,1
12288,5366,1
12288,5393,1
12288,5416,1
12288,5484,1
12288,5503,1
12288,5505,1
12288,5550,1
12288,5565,1
12288,5606,1
12288,5611,1
12288,5630,1
12288,5653,1
12288,5700,1
12288,5732,1
12288,5801,1
12288,5809,1
12288,5818,1
12288,5847,1
12288,5872,1
12288,5913,1
12288,5951,1
12288,5952,1
12288,5973,1
12288,5995,1
12288,6004,1
12288,6033,1
12288,6088,1
12288,6104,1
12288,6131,1
12288,6179,1
12288,6185,1
12288,6197,1
12288,6227,1
12288,6278,1
12288,6286,1
12288,6296,1
12288,6364,1
12288,6408,1
12288,6435,1
12288,6443,1
12288,6452,1
12288,6540,1
12288,6555,1
12288,6556,1
12288,6557,1
12288,6558,1
12288,6592,1
12288,6606,1
12288,6622,1
12288,6637,1
12288,6638,1
12288,6654,1
12288,6658,1
12288,6663,1
12288,6666,1
12288,6680,1
12288,6788,1
12288,6846,1
12288,6855,1
12288,6862,1
12288,6934,1
12288,6941,1
12288,6962,1
12288,6963,1
12288,6965,1
12288,7039,1
12288,7054,1
12288,7091,1
12288,7107,1
12288,7108,1
12288,7113,1
12288,7146,1
12288,7151,1
12288,7178,1
12288,7190,1
12288,7226,1
12288,7227,1
12288,7246,1
12288,7253,1
12288,7254,1
12288,7263,1
12288,7268,1
12288,7291,1
12288,7293,1
12288,7295,1
12288,7298,1
12288,7306,1
12288,7324,1
12288,7338,1
12288,7419,1
12288,7426,1
12288,7443,1
12288,7469,1
12288,7472,1
12288,7475,1
12288,7479,1
12288,7520,1
12288,7534,1
12288,7561,1
12288,7602,1
12288,7621,1
12288,7651,1
12288,7681,1
12288,7703,1
12288,7713,1
12288,7721,1
12288,7757,1
12288,7835,1
12288,7838,1
12288,7841,1
12288,7860,1
12288,7924,1
12288,8031,1
12288,8036,1
12288,8043,1
12288,8044,1
12288,8078,1
12288,8097,1
12288,8133,1
12288,8156,1
12288,8162,1
12288,8192,1
12288,8229,1
12288,8268,1
12288,8283,1
12288,8295,1
12288,8382,1
12288,8393,1
12288,8416,1
12288,8465,1
12288,8466,1
12288,8468,1
12288,8490,1
12288,8549,1
12288,8568,1
12288,8594,1
12288,8635,1
12288,8650,1
12288,8662,1
12288,8672,1
12288,8676,1
12288,8714,1
12288,8847,1
12288,8867,1
12288,9035,1
12288,9198,1
12288,9211,1
12288,9232,1
12288,9287,1
12288,9307,1
12302,11211,1
12302,11375,1
12302,12323,1
12302,7685,1
12302,8646,1
12302,9418,1
12302,11090,1
12302,11209,1
12302,11452,1
12302,71,1
12302,4128,1
12302,5118,1
12302,5882,1
12302,6269,1
12302,8252,1
