from,to,sign
1939,6453,1
5557,8882,1
5557,5557,-1
5557,4074,-1
5557,8153,-1
5557,1905,1
5557,6865,-1
5557,6191,-1
5557,2427,-1
5557,1874,1
5557,3434,1
5557,2346,-1
5557,5314,-1
5557,1055,1
5557,6299,1
5557,3557,1
5557,8026,1
5557,758,1
5557,9686,-1
5557,2996,-1
5557,2386,1
5557,2972,-1
5557,533,-1
5557,4246,1
5557,1049,-1
5557,5042,-1
5557,880,1
5557,10005,-1
5557,6265,-1
5557,8406,1
5557,7840,-1
5557,10177,-1
5557,3972,1
5557,9435,1
5557,2012,-1
5557,6783,-1
5557,8,-1
5557,3459,-1
5557,10790,-1
5557,1480,1
5557,1690,-1
5557,3637,-1
5557,8011,-1
5557,2591,-1
5557,4611,-1
5557,975,1
5557,7013,-1
5557,2940,-1
5557,4643,-1
5557,4633,-1
5557,1819,1
5557,6097,1
5557,323,1
5557,5390,-1
5557,9386,1
10538,1383,1
10538,2541,1
4701,4400,1
4701,8879,1
4701,8647,1
1243,10641,1
1243,916,1
7817,9956,1
958,7039,-1
958,3469,1
958,4432,-1
958,1170,1
958,8320,1
958,7744,1
958,8790,-1
958,1544,1
958,6966,1
958,3609,1
958,4849,-1
958,9957,1
958,3497,1
958,9988,1
958,10179,-1
958,7943,1
958,9776,1
958,188,1
958,4999,1
958,6261,1
958,2064,1
958,932,-1
1004,2104,1
1004,3760,1
1004,9995,1
1004,8783,1
1004,10176,1
1004,3828,1
1004,8000,1
1004,2640,1
1004,8155,1
1004,4610,1
1004,5659,1
1004,2119,1
1004,2227,1
1004,2888,1
1004,128,1
1004,3305,1
1004,6015,1
1004,10182,1
1004,4271,1
1004,1162,1
1004,4136,1
1004,7742,1
1004,4645,1
1004,7073,1
1004,3425,1
1004,6034,1
1004,1175,1
1004,4554,1
1004,5325,1
1004,7313,1
1004,2940,1
1004,5334,1
9620,9620,-1
9410,2884,1
9410,5291,1
9410,3446,1
9410,5297,-1
9410,9944,1
9410,7760,1
1613,1753,1
1613,9671,-1
1613,3125,1
1613,388,1
1613,9350,1
1613,5730,1
1613,8344,-1
1613,3235,1
1613,5881,1
1613,8582,1
1613,6129,1
1613,10456,1
1613,4971,-1
1613,3570,1
1613,5072,-1
1613,3267,-1
1613,2719,1
1613,4180,1
6418,6418,1
6418,7566,1
6418,1123,1
6418,7766,1
6418,3809,1
6418,1061,1
6418,8023,-1
6418,6063,1
6418,4630,1
6418,10425,1
6418,873,1
6418,9565,1
1030,5124,1
1030,8827,1
1030,8933,-1
1030,7962,1
1030,1040,1
1030,7559,1
1030,2913,1
1030,9852,1
1030,7288,1
1030,295,1
1030,5443,1
1030,10104,1
1030,2309,1
1030,1572,1
1030,1117,1
1030,1154,1
1030,8613,1
1030,6537,-1
1030,6429,1
1030,8568,1
1030,4972,1
1030,935,1
1030,5825,1
1030,6082,1
1030,4555,1
1030,1010,1
1030,3805,-1
1030,9624,1
1030,10290,1
1030,62,1
1030,6769,1
1030,7900,1
1030,947,1
1030,6806,1
1030,897,1
1030,9880,1
1030,2769,1
1030,7316,1
1030,2025,1
1030,7604,1
1030,6742,1
1030,4511,1
1030,5862,1
1030,9632,1
1030,9600,1
1030,8975,1
1030,7737,1
1030,10667,1
1030,10699,1
1030,3076,1
1030,3945,1
1030,8717,-1
1030,2201,1
1030,1011,1
1030,1663,1
1030,5539,1
1030,3120,1
1030,393,1
1030,3670,1
1030,8305,1
1030,585,1
1030,9012,1
1030,4094,1
1030,7735,1
1030,3027,1
1030,4715,1
1030,6422,1
1030,3559,1
1030,7005,1
1030,9738,1
1030,10782,1
1030,1812,1
1030,5118,1
1030,5459,1
1030,9961,1
1030,6724,1
1030,1278,1
1030,7109,1
1030,6192,1
1030,2082,1
1030,1712,1
1030,646,1
1030,6342,1
1030,5478,1
1030,10648,1
1030,2353,1
1030,1368,1
1030,9907,1
1030,9024,1
1030,7890,1
1030,549,1
1030,8607,1
1030,2236,1
1030,6533,1
1030,3417,1
1030,8589,1
1030,5998,1
1030,9591,1
1030,10643,1
1030,2711,1
1030,787,1
1030,1186,1
1030,10100,1
1030,1632,1
1030,293,1
1030,5888,1
1030,8795,1
1030,2970,1
1030,9825,1
1030,9652,1
1030,6736,1
1030,10373,1
1030,1601,1
1030,2070,1
1030,10783,1
8226,8226,-1
8226,2422,-1
8226,3722,-1
8226,9605,-1
9641,1273,1
9641,8598,1
9641,5942,1
9641,3443,1
9641,6757,1
9641,5379,1
9641,2626,1
9641,7388,1
9641,2440,1
9641,709,1
9641,8203,1
9641,6416,-1
9641,7916,1
9641,8806,-1
9641,2628,1
9641,3088,-1
9641,3154,1
9641,5110,1
9641,9581,1
9641,7694,1
9641,4017,1
9641,2416,1
9641,10534,-1
9641,836,1
9641,1374,1
9641,7094,1
9641,3042,1
6493,5771,1
6493,6745,1
6493,5734,1
6493,7545,1
6493,8703,1
6493,3219,1
6493,7240,-1
6493,3427,1
6493,4849,1
6493,5042,1
6493,10603,1
6493,4600,1
6493,9423,1
6493,5495,1
6493,5892,-1
6493,6847,1
6493,7823,1
6493,4363,-1
6493,5698,1
6493,9907,1
