from,to,sign
4393,4393,1
4393,353,-1
4393,1040,-1
4393,5334,-1
6763,4160,1
6763,6145,1
6763,2292,1
6759,3757,-1
6759,6167,-1
6759,4414,-1
6759,7151,-1
6759,2636,-1
3941,1931,1
3941,4157,1
6617,1384,1
6617,1032,1
6617,4279,1
6617,1040,1
6617,2954,-1
6617,1334,1
6617,2683,1
6617,5252,1
6617,2791,1
6617,3148,-1
6617,6167,1
6617,2462,1
6617,3702,1
6617,4657,-1
6617,766,1
6617,5404,-1
6617,5239,1
1085,735,1
1085,7346,-1
1085,1582,1
1085,3150,-1
1085,3407,1
1085,4322,1
1085,102,1
1085,6334,1
1085,2530,1
1085,6469,1
1085,1185,1
1085,112,1
1085,544,-1
1085,6964,1
1085,4544,1
1085,2511,1
1085,318,-1
1085,656,-1
1085,512,1
1085,95,1
1085,5713,1
1085,6400,-1
1085,3996,1
1085,4230,1
1085,2268,-1
1085,3462,1
1085,3539,1
1085,931,-1
1085,6369,1
1085,2447,1
1085,191,1
1085,2800,1
1085,5715,-1
1085,480,1
1085,2515,1
1085,3224,1
1085,1747,1
1085,6949,1
1085,506,-1
1085,1979,1
1085,1973,1
1085,5167,-1
1085,573,1
1085,3226,1
1085,5239,1
1085,124,1
1085,6486,1
1085,6959,1
1085,4821,-1
1085,2199,1
1085,5454,1
1085,1236,1
1085,5101,-1
1085,1125,1
1085,4869,-1
1085,7539,1
1085,1400,1
1085,581,1
1085,2701,1
1085,54,1
1085,2086,1
1085,1343,1
1085,4433,1
1085,3533,1
5575,5575,-1
5575,4141,1
2677,5475,1
712,712,1
5568,966,1
5568,3049,1
5568,6820,1
5568,7633,-1
5568,2318,1
5568,4636,1
5568,4657,-1
5568,744,1
791,2505,1
4565,95,1
6753,6791,1
4718,6759,-1
4718,4718,1
4718,1801,-1
4718,5692,1
4718,3721,1
4718,4062,1
4718,518,-1
4718,7550,-1
4718,6587,1
4718,2399,1
4718,5142,1
4718,3918,1
4718,6682,1
4718,6718,-1
4718,109,1
4718,1183,1
4718,3781,1
4718,1716,1
4718,5393,1
4718,7543,1
4718,2057,1
4718,2591,1
4718,2153,-1
4718,674,1
4718,6978,1
4718,380,-1
4718,6927,1
4718,838,1
4718,5037,1
4718,6713,1
4718,6505,-1
4718,6885,1
4718,2858,1
4718,6061,1
4718,4528,1
4718,1389,1
4718,423,1
4718,611,1
4718,6586,1
5956,1513,-1
1018,6590,-1
4877,6960,1
4877,4877,1
4877,5692,-1
4877,3358,1
4877,481,1
4877,6301,1
4877,6031,-1
4877,3656,-1
4877,6248,1
4877,5675,1
4877,6566,1
4877,6114,1
4877,410,1
4877,7185,1
4877,5703,1
4877,1359,1
4877,3062,1
4877,7147,1
4877,5448,1
4877,257,1
4877,2744,1
4877,3478,-1
4877,7373,1
4877,315,1
4877,519,1
4877,4591,-1
3631,3831,1
6951,7068,-1
5971,3918,1
5971,6579,1
5971,3794,1
5971,2091,-1
5971,3971,1
5971,1048,-1
5971,5230,-1
5971,5167,1
5971,6509,-1
5971,5517,-1
5971,5658,-1
3886,4066,1
3886,847,-1
3886,6477,1
3886,6784,1
3886,5596,1
3886,1813,1
3886,1004,-1
3886,1910,1
3886,3509,1
3886,499,1
3886,4655,1
3886,3194,1
3886,2340,-1
1948,3197,1
1948,1268,1
1948,2875,1
1948,1948,1
1948,3178,-1
1948,527,1
1948,1050,1
1948,6616,1
1948,2480,1
1948,6145,-1
1948,1502,1
1948,367,1
1948,4225,1
1948,4906,1
1948,1211,1
1948,3405,1
1948,2122,1
1948,3815,1
1948,4958,1
1948,3248,1
1948,4237,-1
1948,3987,1
1948,1301,1
1948,4992,1
1948,839,1
1948,1333,-1
1948,4332,1
1948,1990,1
1948,3746,1
1948,4597,1
1948,5714,1
1948,4488,1
1948,3977,1
1948,5073,1
1948,6132,1
1948,941,1
1948,5552,1
1948,272,1
1948,5476,1
1948,4394,1
1948,5699,1
1948,2662,1
1948,6591,1
1948,4475,1
1948,4602,1
1948,3761,1
1948,2975,1
1948,7410,1
1948,4366,1
1948,2094,1
1948,1804,1
1948,3791,1
1948,2276,1
1948,1506,1
1948,2664,1
1948,4611,1
1948,5280,1
1948,1334,-1
1948,634,1
1948,754,1
1948,1419,1
1948,282,1
1948,6455,1
1948,7131,1
1948,2193,1
1948,950,1
1948,3885,-1
1948,5135,1
1948,4135,1
1948,3959,1
1948,3520,-1
1948,501,1
1948,6774,1
1948,2148,1
1948,3221,1
1948,589,1
1948,5817,1
1948,5681,-1
1948,1119,1
1948,3835,1
1948,4398,1
1948,4621,1
1948,898,-1
1948,2083,1
1948,2448,1
1948,4630,1
1948,319,1
1948,4546,1
1948,4463,1
1948,4027,1
1948,49,-1
1948,5524,1
1948,6508,1
1948,3315,1
1948,7209,1
1948,53,1
1948,476,1
1948,3267,1
1948,740,1
1948,1198,1
1948,7271,1
1948,3361,1
1948,454,1
1948,2557,1
1948,1234,1
1948,7324,1
1948,3011,1
1948,2889,1
1948,2653,1
1948,739,1
1948,2156,1
1948,1576,1
1948,2456,1
1948,6208,1
1948,4707,1
1948,2120,1
1948,1722,1
1948,6294,1
1948,4985,1
1948,6830,1
1948,4130,1
1948,2286,1
1948,2057,1
1948,427,1
1948,6516,1
1948,117,1
1948,295,1
1948,5558,1
1948,6443,1
1948,1080,1
1948,7593,1
1948,6637,1
1948,4639,1
1948,96,1
1948,4445,1
1948,122,1
1948,1962,1
1948,2032,1
1948,5722,1
1948,5092,1
1948,5812,1
1948,4060,1
1948,1605,1
1948,6232,1
1948,3336,1
1948,3822,1
1948,1135,1
1948,3988,1
1948,6882,1
1948,3577,1
1948,4568,1
1948,566,1
1948,4967,1
1948,1045,1
1948,402,1
1948,7425,1
1948,1449,1
1948,3263,1
1948,762,1
1948,6165,1
1948,5784,1
1948,3834,1
1948,3632,1
1948,220,1
1948,4728,1
1948,3528,1
1948,187,-1
1948,278,1
1948,1868,-1
1948,1457,1
1948,1241,1
1948,1540,1
1948,1436,1
1948,4185,1
1948,2537,1
1948,5901,1
1948,2722,1
1948,5991,1
1948,1115,1
1948,3646,1
1948,1876,1
1948,2474,1
1948,3115,1
1948,3352,1
1948,6074,1
1948,3889,1
1948,2505,1
1948,251,1
1948,3946,1
1948,3708,1
1948,4767,1
1948,4447,1
1948,2897,1
1948,5912,1
1948,4629,1
1948,5810,1
1948,6857,1
1948,5412,-1
1948,5904,1
1948,533,1
1948,1749,1
1948,6221,1
1948,6913,1
1948,155,1
1948,7200,1
1948,4072,1
1948,5496,1
1948,6067,1
1948,1880,1
1948,7429,1
1948,7475,1
1948,6172,1
1948,5911,1
1948,4762,1
1948,7265,1
1948,7401,1
1948,2900,1
1948,6807,1
1948,7300,-1
1948,1057,1
1948,2450,1
1948,6638,1
1948,6812,1
1948,3444,1
1948,6844,-1
1948,2127,1
1948,1103,1
1948,6336,1
1948,372,1
1948,5616,1
1948,3238,1
1948,425,-1
1948,570,1
3691,7139,-1
4799,6145,1
2766,2635,1
2766,969,-1
2766,5833,1
2766,1995,1
2766,7307,1
2766,1526,1
2766,4157,1
2766,3397,1
4813,3065,-1
4813,4412,-1
2529,3437,1
2529,2529,-1
2529,550,1
2529,2337,1
2529,3843,1
2529,2698,1
2529,3400,1
2529,4446,1
2529,7104,1
2529,5973,1
2529,3603,1
2529,3379,1
2529,7525,1
2529,3429,1
2529,3727,1
2529,3002,1
2529,7392,1
2529,987,1
2529,90,1
2529,729,1
2529,4547,1
2529,105,1
2529,2151,1
2529,456,1
2529,934,1
